=== BINARY (TURBO) OPTIONS ===
--- สกุลเงิน (Forex) ---
TESLA-OTC (Payout: 85%)
TESLA/FORD-OTC (Payout: 84%)
WDC-OTC (Payout: 85%)

--- ดัชนี & สินค้าโภคภัณฑ์ & อื่นๆ ---
AUS200-OTC (Payout: 85%)
COCOA-OTC (Payout: 85%)
COFFEE-OTC (Payout: 85%)
COTTON-OTC (Payout: 85%)
EU50-OTC (Payout: 85%)
FR40-OTC (Payout: 85%)
GER30-OTC (Payout: 85%)
GER30/UK100-OTC (Payout: 84%)
HK33-OTC (Payout: 85%)
JP225-OTC (Payout: 85%)
SP35-OTC (Payout: 85%)
SP500-OTC (Payout: 90%)
SUGAR-OTC (Payout: 85%)
UK100-OTC (Payout: 85%)
UKOUSD-OTC (Payout: 85%)
URANIUM-OTC (Payout: 85%)
US100/JP225-OTC (Payout: 84%)
US2000-OTC (Payout: 85%)
US30-OTC (Payout: 85%)
US30/JP225-OTC (Payout: 84%)
USNDAQ100-OTC (Payout: 85%)
USOUSD-OTC (Payout: 85%)
XAGUSD-OTC (Payout: 85%)
XAU/XAG-OTC (Payout: 84%)
XAUUSD-OTC (Payout: 85%)
XNGUSD-OTC (Payout: 85%)
XPDUSD-OTC (Payout: 85%)
XPTUSD-OTC (Payout: 85%)

=== DIGITAL OPTIONS ===
--- สกุลเงิน (Forex) ---
AUDCAD-OTC (Payout: 85%)
EURGBP-OTC (Payout: 85%)
EURJPY-OTC (Payout: 85%)
EURUSD-OTC (Payout: 85%)
GBPJPY-OTC (Payout: 85%)
GBPUSD-OTC (Payout: 85%)
USDCHF-OTC (Payout: 85%)
USDHKD-OTC (Payout: 85%)
USDINR-OTC (Payout: 85%)
USDSGD-OTC (Payout: 85%)
USDZAR-OTC (Payout: 85%)

